Easting,Northing,NO2_NO3,NH3_NH4,SO2_SO4_NM
352500,107500,0.54,1.77,0.27
252500,147500,0.47,0.87,0.25
302500,277500,0.65,1.19,0.38
352500,1002500,0.29,0.82,0.15
572500,277500,0.6,1.22,0.27
12500,507500,0.24,0.64,0.16
117500,482500,0.42,2.63,0.41
287500,882500,0.16,0.5,0.08
327500,112500,0.63,2.47,0.32
457500,517500,0.53,1.75,0.38
322500,492500,0.56,1.18,0.44
582500,292500,0.59,1,0.26
547500,372500,0.65,1.7,0.31
407500,462500,0.85,1.43,0.6
472500,437500,0.52,1.85,0.46
362500,547500,0.65,1.34,0.41
337500,107500,0.55,2.16,0.28
302500,122500,0.57,1.8,0.28
302500,357500,0.65,1.32,0.42
222500,937500,0.29,0.27,0.18
382500,282500,0.56,1.39,0.3
322500,482500,0.44,1.06,0.34
282500,37500,0.42,0.66,0.19
132500,662500,0.27,0.53,0.17
342500,597500,0.62,1.11,0.38
87500,17500,0.3,0.25,0.15
337500,342500,0.46,2.29,0.3
227500,387500,0.31,0.52,0.17
402500,157500,0.62,1.77,0.26
417500,1072500,0.32,0.29,0.17
282500,317500,0.85,1.39,0.57
307500,792500,0.53,0.46,0.31
442500,287500,0.75,2.37,0.33
442500,1137500,0.47,0.6,0.29
167500,772500,0.29,0.34,0.23
422500,1067500,0.33,0.32,0.18
612500,292500,0.64,3.01,0.29
592500,202500,0.66,1.05,0.29
82500,502500,0.26,2.2,0.14
472500,157500,0.66,1.32,0.27
502500,477500,0.65,3.2,0.45
277500,667500,0.36,1.4,0.27
517500,217500,0.79,1.22,0.27
237500,107500,0.51,2.2,0.26
387500,132500,0.61,1.91,0.25
327500,862500,0.22,0.9,0.12
467500,87500,0.51,0.54,0.25
132500,802500,0.33,0.33,0.24
172500,707500,0.28,0.46,0.2
307500,587500,0.36,1.65,0.24
332500,862500,0.25,0.88,0.13
547500,242500,0.72,1.34,0.3
312500,332500,0.93,1.73,0.57
357500,627500,0.44,1.3,0.27
332500,552500,0.29,2.55,0.2
492500,417500,0.62,2.16,0.46
362500,227500,0.52,1.57,0.28
12500,512500,0.27,0.73,0.18
227500,827500,0.32,0.29,0.21
377500,617500,0.55,1.14,0.32
462500,327500,0.72,1.98,0.35
592500,317500,0.69,2.15,0.32
202500,902500,0.18,0.16,0.11
282500,117500,0.53,1.74,0.26
97500,477500,0.32,1.97,0.15
307500,632500,0.56,1.11,0.35
317500,477500,0.39,0.82,0.28
32500,522500,0.22,1.4,0.16
127500,492500,0.43,3.2,0.25
322500,292500,0.53,1.77,0.3
222500,877500,0.37,0.32,0.24
342500,452500,0.4,1.42,0.29
257500,142500,0.55,1.47,0.28
267500,357500,0.96,1.49,0.72
512500,302500,0.67,1.48,0.28
