Pollutant Name: nitrogen (N),,
Pollutant Type: total deposition,,
Units: kg N ha-1 yr-1,,
Year: 2014,,
Resolution: 5km (Midpoint in metres of 5x5km grid square of the OS grid for Great Britain),,
,,
Easting,Northing,Value
562500,267500,10.13
152500,847500,6.59
267500,802500,6.84
377500,802500,14.37
227500,627500,8.77
192500,712500,14.35
307500,567500,14.2
527500,117500,11.9
492500,417500,13.55
222500,77500,18.47
87500,837500,4.82
327500,697500,12.2
397500,432500,31.8
292500,612500,21.98
457500,217500,11.1
62500,537500,9.72
257500,697500,12.16
502500,432500,14.12
187500,842500,6.04
227500,72500,17.89
287500,352500,20.37
572500,157500,12.21
292500,362500,17.26
587500,162500,11.42
217500,607500,8.67
452500,442500,11.69
487500,222500,10.51
67500,542500,10.59
382500,512500,17.78
442500,207500,9.81
447500,477500,11.83
102500,562500,9.42
37500,527500,6.44
457500,462500,11.1
447500,137500,14
457500,497500,18.94
302500,912500,3.91
227500,962500,5.58
527500,187500,17.27
332500,542500,15.65
392500,457500,17.17
397500,192500,12.17
647500,257500,9.74
552500,242500,11.07
342500,132500,9.17
287500,922500,6.78
382500,442500,19.78
222500,117500,9.03
257500,202500,10.24
402500,867500,7.99
437500,212500,12.18
37500,557500,7.65
142500,592500,14.07
632500,137500,10.97
382500,637500,8.06
337500,862500,8.36
392500,662500,7.99
612500,147500,13.52
487500,482500,12.02
97500,867500,3.2
477500,387500,10.76
377500,467500,24.29
262500,857500,5.54
147500,487500,19.56
542500,307500,8.92
137500,852500,6.85
127500,932500,4.72
382500,382500,15.58
292500,582500,16.14
332500,152500,6.34
392500,847500,12.83
457500,267500,11.51
532500,422500,10.31
512500,477500,12.48
432500,442500,15.9
352500,667500,9.91
417500,292500,14.96
317500,837500,8.47
412500,147500,8.69
87500,592500,11.73
352500,467500,11.93
172500,512500,7.5
392500,837500,10.93
347500,542500,15.19
147500,927500,3.18
472500,497500,21.55
232500,322500,5.39
247500,662500,13.45
262500,662500,10.98
337500,427500,10.57
177500,877500,3.28
597500,192500,7.65
547500,122500,15.4
562500,187500,7.63
142500,542500,11.81
457500,277500,10.2
577500,347500,10.7
327500,852500,10.59
417500,382500,27.37
262500,227500,14.25
357500,767500,11.42
177500,682500,11.16
127500,552500,8.29
387500,252500,11.19
307500,652500,12.9
207500,577500,15.75
387500,502500,29.93
402500,182500,12.18
442500,1172500,10.1
392500,532500,22.23
337500,972500,6.46
387500,242500,9.29
332500,942500,6.91
427500,362500,26.29
482500,252500,15.52
562500,242500,11.67
342500,242500,11.44
347500,1022500,7.93
302500,692500,8.05
192500,742500,8.02
527500,247500,7.61
427500,1152500,9
237500,82500,12.79
242500,637500,9.7
317500,367500,15.85
367500,657500,11.32
437500,467500,13.61
477500,267500,12.97
527500,307500,8.2
282500,182500,8.79
502500,337500,11.19
512500,112500,13.59
382500,122500,12.89
422500,347500,17.29
257500,852500,4.42
372500,377500,13.89
447500,112500,16.92
217500,227500,13.9
442500,127500,13.81
607500,332500,16.62
542500,157500,15.38
477500,397500,9.26
142500,577500,17.24
327500,152500,7.2
347500,812500,12.99
472500,112500,13.95
37500,537500,12.94
217500,197500,6.73
27500,532500,7.24
497500,182500,13.77
172500,867500,3.31
582500,237500,9.33
562500,297500,10.5
572500,137500,11.14
287500,272500,15.72
337500,377500,9.81
197500,82500,6.97
547500,397500,11.45
42500,497500,7.22
452500,107500,14.27
232500,962500,7.13
407500,312500,15.39
122500,752500,4.8
577500,272500,12.27
252500,912500,6.15
257500,842500,5.66
427500,287500,13.38
247500,137500,6.07
337500,542500,16.23
537500,317500,8.57
277500,722500,16.06
492500,392500,12.81
262500,762500,8.62
507500,457500,13.59
267500,717500,17.5
437500,1142500,11.33
222500,742500,17.75
382500,117500,11.35
392500,447500,24.32
302500,137500,14.06
52500,492500,5.32
387500,612500,21.6
317500,822500,9.48
362500,92500,10.26
247500,602500,23.7
302500,597500,21.36
277500,827500,5.35
487500,437500,13.5
322500,217500,18.7
337500,322500,12.05
622500,217500,7.8
402500,312500,21.32
287500,772500,7.8
387500,422500,30.25
