name,long,lat
Dunstaff,-5.439,56.451
Braemar,-3.396,57.006
Leuchars,-2.861,56.377
Paisley,-4.43,55.846
Eskdalemuir,-3.206,55.311
NewtonRigg,-2.786,54.67
Durham,-1.585,54.768
Whitby,-0.624,54.481
Bradford,-1.772,53.813
Ringway,-2.279,53.356
Sheffield,-1.49,53.381
Waddington,-0.522,53.175
Shawbury,-2.663,52.794
SuttonBonnington,-1.25,52.833
Cymystwyth,-3.802,52.358
Aberporth,-4.57,52.139
RossOnWye,-2.584,51.911
Oxford,-1.262,51.761
Cambridge,0.102,52.245
Lowestoft,1.727,52.483
Heathrow,-0.449,51.479
Manston,1.337,51.346
Eastbourne,0.285,50.762
Hurn,-1.835,50.779
Southampton,-1.408,50.898
Yeovilton,-2.641,51.006
Chivenor,-4.147,51.089
Cambourne,-5.327,50.218
Cardiff,-3.187,51.488
Nairn,-3.821,57.593
Wick,-3.088,58.454
