site,date,grazed,species,type,continuity,mxat,mnat,rainfall1,elevation,mxdt,mndt,averainfall,rainthismonth,raingprevmonth
fs,15/07/2019,y,qp,podzol,100,15,6.5,656.6,195,16.46,8.31,51.65,50.8,81.8
ll,17/06/2019,y,qr,cambisol,400,14.6,6.2,708.5,249,15.55,6.93,57.83,69.2,17.6
lw,26/06/2019,y,qp,stagnosols,400,13.6,6.2,745.2,102,15.37,7.13,62.84,140,43.4
hp,28/09/2019,n,qp,stagnosols,400,13.8,6.1,613,79,15.5,7,45.42,70.6,35.8
gd,18/07/2019,y,qp,umbrisol,400,13.7,7.5,998.9,201,15.44,7.65,100.85,83.6,84.6
bd,11/07/2019,y,qp,stagnosols,400,13.5,6.3,614.6,92,14.92,6.86,52.73,83.8,126.2
fl,29/07/2019,y,qp,umbrisol,400,13.5,6.9,1121,174,13.3,8.01,80.14,21.6,138.2
bw,05/08/2019,y,qspp,stagnosols,400,12,5.3,751.1,203,13.89,6.87,53.26,35.6,36
ws,07/08/2019,n,qp,cambisol,50,10.5,4.3,1550,54,12.99,5.31,89.87,159.4,116
gp,24/07/2019,y,qp,umbrisol,200,13.7,6.7,1384.6,285,15.16,8.39,77.02,39.8,102.4
yw,28/08/2019,y,qp,podzol,400,13.7,6.7,1384.6,164,15.16,8.39,77.02,39.8,102.4
ww,29/08/2019,y,qr,umbrisol,400,13.7,6.7,1384.6,392,15.16,8.39,77.02,39.8,102.4
wc,07/09/2019,y,qp,histosol,400,11.7,6.3,1142.5,164,13.4,6.39,102.9,113.4,204.5
tw,09/09/2019,n,qp,umbrisol,400,12.4,6.4,1226.2,90,13.12,6.8,149.25,153.8,246.8
gw,11/09/2019,n,qp,umbrisol,400,11,3.9,1809.4,183,13.12,6.8,149.25,153.8,246.8
aw,14/09/2019,n,qp,podzol,400,11,3.9,1809.4,93,13.12,6.8,149.25,153.8,246.8
do,16/09/2019,y,qr,umbrisol,400,12.2,3.5,780,174,11.39,3.22,79.42,54.2,100.2
dk,21/09/2019,y,qr,cambisol,400,12.7,5.9,704.2,45,13.14,5.6,57.94,48.6,131
sw,11/06/2019,y,qr,luvisol,10,15,6.5,656.6,67,16.46,8.31,51.65,81.8,36
